number,spacegroup,hall_number,symbol,full_symbol,multiplicity
1,1,1,P1,P 1,1
2,2,2,P-1,P -1,2
3,3,4,P112,P 1 1 2,2
4,6,19,P11m,P 1 1 m,2
5,7,24,P11a,P 1 1 a,2
6,10,58,P112/m,P 1 1 2/m,4
7,13,75,P112/a,P 1 1 2/a,4
8,3,5,P211,P 2 1 1,2
9,4,8,P2_111,P 2_1 1 1,2
10,5,16,C211,C 2 1 1,4
11,6,20,Pm11,P m 1 1,2
12,7,27,Pb11,P b 1 1,2
13,8,37,Cm11,C m 1 1,4
14,10,59,P2/m11,P 2/m 1 1,4
15,11,62,P2_1/m11,P 2_1/m 1 1,4
16,13,78,P2/b11,P 2/b 1 1,4
17,14,87,P2_1/b11,P 2_1/b 1 1,4
18,12,70,C2/m11,C 2/m 1 1,8
19,16,108,P222,P 2 2 2,4
20,17,110,P2_122,P 2_1 2 2,4
21,18,112,P2_12_12,P 2_1 2_1 2,4
22,21,119,C222,C 2 2 2,8
23,25,125,Pmm2,P m m 2,4
24,28,137,Pma2,P m a 2,4
25,32,161,Pba2,P b a 2,4
26,35,173,Cmm2,C m m 2,8
27,25,127,Pm2m,P m 2 m,4
28,26,133,Pm2_1b,P m 2_1 b,4
29,26,132,Pb2_1m,P b 2_1 m,4
30,27,136,Pb2b,P b 2 b,4
31,28,142,Pm2a,P m 2 a,4
32,31,160,Pm2_1n,P m 2_1 n,4
33,29,148,Pb2_1a,P b 2_1 a,4
34,30,153,Pb2n,P b 2 n,4
35,38,189,Cm2m,C m 2 m,8
36,39,195,Cm2e,C m 2 e,8
37,47,227,Pmmm,P m m m,8
38,49,231,Pmaa,P m a a,8
39,50,233,Pban,P b a n,8
40,51,244,Pmam,P m a m,8
41,51,239,Pmma,P m m a,8
42,53,256,Pman,P m a n,8
43,54,259,Pbaa,P b a a,8
44,55,263,Pbam,P b a m,8
45,57,273,Pbma,P b m a,8
46,59,278,Pmmn,P m m n,8
47,65,310,Cmmm,C m m m,16
48,67,316,Cmme,C m m e,16
49,75,349,P4,P 4,4
50,81,355,P-4,P -4,4
51,83,357,P4/m,P 4/m,8
52,85,359,P4/n,P 4/n,8
53,89,366,P422,P 4 2 2,8
54,90,367,P42_12,P 4 2_1 2,8
55,99,376,P4mm,P 4 m m,8
56,100,377,P4bm,P 4 b m,8
57,111,388,P-42m,P -4 2 m,8
58,113,390,P-42_1m,P -4 2_1 m,8
59,115,392,P-4m2,P -4 m 2,8
60,117,394,P-4b2,P -4 b 2,8
61,123,400,P4/mmm,P 4/m m m,16
62,125,402,P4/nbm,P 4/n b m,16
63,127,406,P4/mbm,P 4/m b m,16
64,129,408,P4/nmm,P 4/n m m,16
65,143,430,P3,P 3,3
66,147,435,P-3,P -3,6
67,149,438,P312,P 3 1 2,6
68,150,439,P321,P 3 2 1,6
69,156,446,P3m1,P 3 m 1,6
70,157,447,P31m,P 3 1 m,6
71,162,454,P-31m,P -3 1 m,12
72,164,456,P-3m1,P -3 m 1,12
73,168,462,P6,P 6,6
74,174,468,P-6,P -6,6
75,175,469,P6/m,P 6/m,12
76,177,471,P622,P 6 2 2,12
77,183,477,P6mm,P 6 m m,12
78,187,481,P-6m2,P -6 m 2,12
79,189,483,P-62m,P -6 2 m,12
80,191,485,P6/mmm,P 6/m m m,24
