symbol,number,multiplicity,wyckoff,site_symmetry,coordinates
P 1,1,1.0,a,1,"(x,y,z)"
P -1,2,2.0,i,1,"(x,y,z) (-x,-y,-z)"
P -1,2,1.0,h,-1,"(1/2,1/2,1/2)"
P -1,2,1.0,g,-1,"(0,1/2,1/2)"
P -1,2,1.0,f,-1,"(1/2,0,1/2)"
P -1,2,1.0,e,-1,"(1/2,1/2,0)"
P -1,2,1.0,d,-1,"(1/2,0,0)"
P -1,2,1.0,c,-1,"(0,1/2,0)"
P -1,2,1.0,b,-1,"(0,0,1/2)"
P -1,2,1.0,a,-1,"(0,0,0)"
P 1 2 1,3,2.0,e,1,"(x,y,z) (-x,y,-z)"
P 1 2 1,3,1.0,d,2,"(1/2,y,1/2)"
P 1 2 1,3,1.0,c,2,"(1/2,y,0)"
P 1 2 1,3,1.0,b,2,"(0,y,1/2)"
P 1 2 1,3,1.0,a,2,"(0,y,0)"
P 1 1 2,4,2.0,e,1,"(x,y,z) (-x,-y,z)"
P 1 1 2,4,1.0,d,2,"(1/2,1/2,z)"
P 1 1 2,4,1.0,c,2,"(0,1/2,z)"
P 1 1 2,4,1.0,b,2,"(1/2,0,z)"
P 1 1 2,4,1.0,a,2,"(0,0,z)"
P 2 1 1,5,2.0,e,1,"(x,y,z) (x,-y,-z)"
P 2 1 1,5,1.0,d,2,"(x,1/2,1/2)"
P 2 1 1,5,1.0,c,2,"(x,0,1/2)"
P 2 1 1,5,1.0,b,2,"(x,1/2,0)"
P 2 1 1,5,1.0,a,2,"(x,0,0)"
P 1 2_1 1,6,2.0,a,1,"(x,y,z) (-x,y+1/2,-z)"
P 1 1 2_1,7,2.0,a,1,"(x,y,z) (-x,-y,z+1/2)"
P 2_1 1 1,8,2.0,a,1,"(x,y,z) (x+1/2,-y,-z)"
C 1 2 1,9,4.0,c,1,"(x,y,z) (-x,y,-z)"
C 1 2 1,9,2.0,b,2,"(0,y,1/2)"
C 1 2 1,9,2.0,a,2,"(0,y,0)"
A 1 2 1,10,4.0,c,1,"(x,y,z) (-x,y,-z)"
A 1 2 1,10,2.0,b,2,"(1/2,y,0)"
A 1 2 1,10,2.0,a,2,"(0,y,0)"
I 1 2 1,11,4.0,c,1,"(x,y,z) (-x,y,-z)"
I 1 2 1,11,2.0,b,2,"(1/2,y,0)"
I 1 2 1,11,2.0,a,2,"(0,y,0)"
A 1 1 2,12,4.0,c,1,"(x,y,z) (-x,-y,z)"
A 1 1 2,12,2.0,b,2,"(1/2,0,z)"
