number,multiplicity,wyckoff,wyckoff_in_space,site_symmetry,coordinates
1,1,a,a,1,"(x,y,z)"
2,2,e,i,1,"(x,y,z) (-x,-y,-z)"
2,1,d,h,-1,"(1/2,1/2,0)"
2,1,d,e,-1,"(1/2,1/2,0)"
2,1,c,f,-1,"(1/2,0,0)"
2,1,c,d,-1,"(1/2,0,0)"
2,1,b,g,-1,"(0,1/2,0)"
2,1,b,c,-1,"(0,1/2,0)"
1,1,a,b,-1,"(0,0,0)"
2,1,a,a,-1,"(0,0,0)"
3,2,e,e,1,"(x,y,z) (-x,-y,z)"
3,1,d,d,2,"(1/2,1/2,z)"
3,1,c,c,2,"(1/2,0,z)"
3,1,b,b,2,"(0,1/2,z)"
3,1,a,a,2,"(0,0,z)"
4,2,b,c,1,"(x,y,z) (x,y,-z)"
4,1,a,a,m,"(x,y,0)"
5,2,a,a,1,"(x,y,z) (x+1/2,y,-z)"
6,4,j,o,1,"(x,y,z) (-x,-y,z) (-x,-y,-z) (x,y,-z)"
6,2,i,m,m,"(x,y,0) (-x,-y,0)"
6,2,h,l,2,"(1/2,1/2,z) (1/2,1/2,-z)"
6,2,g,k,2,"(1/2,0,z) (1/2,0,-z)"
6,2,f,j,2,"(0,1/2,z) (0,1/2,-z)"
6,2,e,i,2,"(0,0,z) (0,0,-z)"
6,1,d,g,2/m,"(1/2,1/2,0)"
6,1,c,d,2/m,"(0,1/2,0)"
6,1,b,c,2/m,"(1/2,0,0)"
6,1,a,a,2/m,"(0,0,0)"
7,4,e,g,1,"(x,y,z) (-x+1/2,-y,z) (-x,-y,-z) (x+1/2,y,-z)"
7,2,d,f,2,"(1/4,1/2,z) (3/4,1/2,-z)"
7,2,c,e,2,"(1/4,0,z) (3/4,0,-z)"
7,2,b,d,-1,"(0,1/2,0) (1/2,1/2,0)"
7,2,a,a,-1,"(0,0,0) (1/2,0,0)"
8,2,c,e,1,"(x,y,z) (x,-y,-z)"
8,1,b,b,2,"(x,1/2,0)"
8,1,a,a,2,"(x,0,0)"
9,2,a,a,1,"(x,y,z) (x+1/2,-y,-z)"
10,4,b,c,1,"(x,y,z) (x,-y,-z)"
10,2,a,a,2,"(x,0,0)"
