pointgroup_schoenflies,pointgroup_international,limit,operation,genpos
C1,1,1,1,1
Ci,-1,2,1 -1,-1
C2,2,5,1 2_010,2_010
Cs,m,9,1 m_010,m_010
C2h,2/m,15,1 2_010 -1 m_010,2_010 -1
D2,222,24,1 2_001 2_010 2_100,2_001 2_010
C2v,mm2,46,1 2_001 m_010 m_100,2_001 m_010
D2h,mmm,74,1 2_001 2_010 2_100 -1 m_001 m_010 m_100,2_001 2_010 -1
C4,4,80,1 2_001 4+001 4-001,2_001 4+001
S4,-4,82,1 2_001 -4+001 -4-001,2_001 -4+001
C4h,4/m,88,1 2_001 4+001 4-001 -1 m_001 -4+001 -4-001,2_001 4+001 -1
D4,422,98,1 2_001 4+001 4-001 2_010 2_100 2_110 2_1-10,2_001 4+001 2_010
C4v,4mm,110,1 2_001 4+001 4-001 m_010 m_100 m_110 m_1-10,2_001 4+001 m_010
D2d,-42m,114,1 2_001 -4+001 -4-001 2_010 2_100 m_110 m_1-10,2_001 -4+001 2_010
D2d,-4m2,122,1 2_001 -4+001 -4-001 m_010 m_100 2_110 2_1-10,2_001 -4+001 m_010
D4h,4/mmm,142,1 2_001 4+001 4-001 2_010 2_100 2_110 2_1-10 -1 m_001 -4+001 -4-001 m_010 m_100 m_110 m_1-10,2_001 4+001 2_010 -1
C3,3,146,1 3+001 3-001,3+001
C3i,-3,148,1 3+001 3-001 -1 -3+001 -3-001,3+001 -1
D3,312,149,1 3+001 3-001 2_1-10 2_120 2_210,3+001 2_1-10
D3,321,155,1 3+001 3-001 2_110 2_100 2_010,3+001 2_110
C3v,3m1,156,1 3+001 3-001 m_110 m_100 m_010,3+001 m_110
C3v,31m,161,1 3+001 3-001 m_1-10 m_120 m_210,3+001 m_1-10
D3d,-3m1,163,1 3+001 3-001 2_1-10 2_120 2_210 -1 -3+001 -3-001 m_1-10 m_120 m_210,3+001 2_1-10 -1
D3d,-31m,167,1 3+001 3-001 2_110 2_100 2_010 -1 -3+001 -3-001 m_110 m_100 m_010,3+001 2_110 -1
C6,6,173,1 3+001 3-001 2_001 6-001 6+001,3+001 2_001
C3h,-6,174,1 3+001 3-001 m_001 -6-001 -6+001,3+001 m_001
C6h,6/m,176,1 3+001 3-001 2_001 6-001 6+001 -1 -3+001 -3-001 m_001 -6-001 -6+001,3+001 2_001 -1
D6,622,182,1 3+001 3-001 2_001 6-001 6+001 2_110 2_100 2_010 2_1-10 2_120 2_210,3+001 2_001 2_110
C6v,6mm,186,1 3+001 3-001 2_001 6-001 6+001 m_110 m_100 m_010 m_1-10 m_120 m_210,3+001 2_001 m_110
D3h,-6m2,188,1 3+001 3-001 m_001 -6-001 -6+001 m_110 m_100 m_010 2_1-10 2_120 2_210,3+001 m_001 m_110
D3h,-62m,190,1 3+001 3-001 m_001 -6-001 -6+001 2_110 2_100 2_010 m_1-10 m_120 m_210,3+001 m_001 2_110
D6h,6/mmm,194,1 3+001 3-001 2_001 6-001 6+001 2_110 2_100 2_010 2_1-10 2_120 2_210 -1 -3+001 -3-001 m_001 -6-001 -6+001 m_110 m_100 m_010 m_1-10 m_120 m_210,3+001 2_001 2_110 -1
T,23,199,,
Th,m-3,206,,
O,432,214,,
Td,-43m,220,,
Oh,m-3m,230,1 2_001 2_010 2_100 3+111 3+-11-1 3+1-1-1 3+-1-11 3-111 3-1-1-1 3--1-11 3--11-1 2_110 2_1-10 4-001 4+001 4-100 2_011 2_01-1 4+001 4+010 2_101 4-010 2_-101 -1 m_001 m_010 m_100 -3+111 -3+-11-1 -3+1-1-1 -3+-1-11 -3-111 -3-1-1-1 -3--1-11 -3--11-1 m_110 m_1-10 -4-001 -4+001 -4-100 m_011 m_01-1 -4+100 -4+010 m_101 -4-010 m_-101,2_001 2_010 3+111 2_110 -1
