symbol,Z,name,row,col,mass,atomic_radius,X,covalent_radius,electron_affinity,first_ionization_energy
H,1,Hydrogan,1,1,1.007825,25.0,2.2,0.31,0.754195,13.598434005136
He,2,Helium,1,18,4.002602,31.0,,0.28,-19.7,24.587387936
Li,3,Lithium,2,1,6.938,145.0,0.98,1.28,0.618049,5.391714761
Be,4,Beryllium,2,2,9.012182,105.0,1.57,0.96,-2.4,9.322699
B,5,Boron,2,13,10.806,85.0,2.04,0.84,0.279723,8.298019
C,6,Carbon,2,14,12.0096,70.0,2.55,0.76,1.262119,11.260296
N,7,Nitrogen,2,15,14.00643,65.0,3.04,0.71,-0.07,14.53413
O,8,Oxygen,2,16,15.99903,60.0,3.44,0.66,1.4611135,13.618054
F,9,Fluorine,2,17,18.9984032,50.0,3.98,0.57,3.4011897,17.42282
Ne,10,Neon,2,18,20.1797,38.0,,0.58,,21.56454
Na,11,Sodium,3,1,22.98976928,180.0,0.93,1.66,0.547926,5.1390767
Mg,12,Magnesium,3,2,24.304,150.0,1.31,1.41,,7.646235
Al,13,Aluminium,3,13,26.9815386,125.0,1.61,1.21,0.43283,5.9857684
Si,14,Silicon,3,14,28.084,110.0,1.9,1.11,1.3895211,8.151683
P,15,Phosphorus,3,15,30.973762,100.0,2.19,1.07,0.746607,10.486686
S,16,Sulfer,3,16,32.059,100.0,2.58,1.05,2.07710403,10.36001
Cl,17,Chlorion,3,17,35.446,100.0,3.16,1.02,3.612725,12.96763
Ar,18,Argon,3,18,39.948,71.0,,1.06,-11.5,15.7596112
K,19,Potassium,4,1,39.0983,220.0,0.82,2.03,0.50147,4.34066354
Ca,20,Calcium,4,2,40.078,180.0,1.0,1.76,0.02455,6.1131552
Sc,21,Scandium,4,3,44.955912,160.0,1.36,1.7,0.188,6.56149
Ti,22,Titanium,4,4,47.867,140.0,1.54,1.6,0.079,6.82812
V,23,Vanadium,4,5,50.9415,135.0,1.63,1.53,0.525,6.746187
Cr,24,Chromium,4,6,51.9961,140.0,1.66,1.39,0.666,6.76651
Mn,25,Manganese,4,7,54.938045,140.0,1.55,1.39,,7.434018
Fe,26,Iron,4,8,55.845,140.0,1.83,1.32,0.151,7.9024678
Co,27,Cobalt,4,9,58.933195,135.0,1.88,1.26,0.66225646,7.88101
Ni,28,Nickel,4,10,58.6934,135.0,1.91,1.24,1.156,7.639877
