Rec,ION,OX_State,Elec_Config.,Coord,Spin_State,Crystal_Radius,Ionic_Radius,NOTES,Z/IR,ele
1,Ac+3,3,6p 6,6,,1.26,1.12,R,2.6785714290000002,Ac
2,Ag+1,1,4d 10,2,,0.81,0.67,,1.4925373130000001,Ag
3,Ag+1,1,4d 10,4,,1.14,1.0,C,1.0,Ag
4,Ag+1,1,4d 10,4,,1.16,1.02,,0.980392157,Ag
5,Ag+1,1,4d 10,5,,1.23,1.09,C,0.917431193,Ag
6,Ag+1,1,4d 10,6,,1.29,1.15,C,0.869565217,Ag
7,Ag+1,1,4d 10,7,,1.36,1.22,,0.8196721309999999,Ag
8,Ag+1,1,4d 10,8,,1.42,1.28,,0.78125,Ag
9,Ag+2,2,4d 9,4,,0.93,0.79,,2.53164557,Ag
10,Ag+2,2,4d 9,6,,1.08,0.94,,2.127659574,Ag
11,Ag+3,3,4d 8,4,,0.81,0.67,,4.47761194,Ag
12,Ag+3,3,4d 8,6,,0.89,0.75,R,4.0,Ag
13,Al+3,3,2p 6,4,,0.53,0.39,* ,7.692307692000001,Al
14,Al+3,3,2p 6,5,,0.62,0.48,,6.25,Al
15,Al+3,3,2p 6,6,,0.675,0.535,R *,5.607476636,Al
16,Am+2,2,5f 7,7,,1.35,1.21,,1.652892562,Am
17,Am+2,2,5f 7,8,,1.4,1.26,,1.5873015869999998,Am
18,Am+2,2,5f 7,9,,1.45,1.31,,1.5267175569999998,Am
19,Am+3,3,5f 6,6,,1.115,0.975,R,3.076923077,Am
20,Am+3,3,5f 6,8,,1.23,1.09,,2.752293578,Am
21,Am+4,4,5f 5,6,,0.99,0.85,R,4.705882353,Am
22,Am+4,4,5f 5,8,,1.09,0.95,,4.210526316,Am
23,As+3,3,4s 2,6,,0.72,0.58,A,5.1724137930000005,As
24,As+5,5,3d 10,4,,0.475,0.335,R *,14.92537313,As
25,As+5,5,3d 10,6,,0.6,0.46,C *,10.86956522,As
26,At+7,7,5d 10,6,,0.76,0.62,A,11.29032258,At
27,Au+1,1,5d 10,6,,1.51,1.37,A,0.729927007,Au
28,Au+3,3,5d 8,4,,0.82,0.68,,4.4117647060000005,Au
29,Au+3,3,5d 8,6,,0.99,0.85,A,3.529411765,Au
30,Au+5,5,5d 6,6,,0.71,0.57,,8.771929825,Au
31,B+3,3,1s 2,3,,0.15,0.01,* ,300.0,B
32,B+3,3,1s 2,4,,0.25,0.11,* ,27.27272727,B
33,B+3,3,1s 2,6,,0.41,0.27,C,11.11111111,B
34,Ba+2,2,5p 6,6,,1.49,1.35,,1.4814814809999999,Ba
35,Ba+2,2,5p 6,7,,1.52,1.38,C,1.4492753619999998,Ba
36,Ba+2,2,5p 6,8,,1.56,1.42,,1.408450704,Ba
37,Ba+2,2,5p 6,9,,1.61,1.47,,1.360544218,Ba
38,Ba+2,2,5p 6,10,,1.66,1.52,,1.315789474,Ba
39,Ba+2,2,5p 6,11,,1.71,1.57,,1.27388535,Ba
40,Ba+2,2,5p 6,12,,1.75,1.61,C,1.242236025,Ba
41,Be+2,2,1s 2,3,,0.3,0.16,,12.5,Be
42,Be+2,2,1s 2,4,,0.41,0.27,* ,7.407407407000001,Be
43,Be+2,2,1s 2,6,,0.59,0.45,C,4.444444444,Be
44,Bi+3,3,6s 2,5,,1.1,0.96,C,3.125,Bi
45,Bi+3,3,6s 2,6,,1.17,1.03,R *,2.9126213589999996,Bi
46,Bi+3,3,6s 2,8,,1.31,1.17,R,2.564102564,Bi
47,Bi+5,5,5d 10,6,,0.9,0.76,E,6.578947368,Bi
